prior_id,node_id,surface_type,x_m,y_m,z_m,normal_x,normal_y,normal_z,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,weight_m2,unknowns_per_node,unknown_vector,include_initial,note
airframe_box_medium,0,box,6.5,-5.5,-0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,1,box,6.5,-5.5,0.625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,2,box,6.5,-5.5,1.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,3,box,6.5,-5.5,2.875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,4,box,6.5,-5.5,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,5,box,6.5,-5.5,5.125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,6,box,6.5,-5.5,6.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,7,box,6.5,-5.5,7.375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,8,box,6.5,-5.5,8.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,9,box,6.5,-4.4,-0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,10,box,6.5,-4.4,0.625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,11,box,6.5,-4.4,1.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,12,box,6.5,-4.4,2.875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,13,box,6.5,-4.4,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,14,box,6.5,-4.4,5.125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,15,box,6.5,-4.4,6.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,16,box,6.5,-4.4,7.375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,17,box,6.5,-4.4,8.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,18,box,6.5,-3.3,-0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
airframe_box_medium,19,box,6.5,-3.3,0.625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,"J_t1,J_t2,M_t1,M_t2",True,Medium box Huygens surface for later Level 2/Level 3 structure-aware reconstruction tests.
